date_time,"boston,ma_maxtempC","boston,ma_mintempC","boston,ma_totalSnow_cm","boston,ma_sunHour","boston,ma_uvIndex","boston,ma_moon_illumination","boston,ma_moonrise","boston,ma_moonset","boston,ma_sunrise","boston,ma_sunset","boston,ma_DewPointC","boston,ma_FeelsLikeC","boston,ma_HeatIndexC","boston,ma_WindChillC","boston,ma_WindGustKmph","boston,ma_cloudcover","boston,ma_humidity","boston,ma_precipMM","boston,ma_pressure","boston,ma_tempC","boston,ma_visibility","boston,ma_winddirDegree","boston,ma_windspeedKmph","boston,ma_location"
2016-02-23,4,-1,0.0,8.5,2,100,07:33 PM,07:49 AM,07:30 AM,06:26 PM,-4,-1,2,-1,14,43,65,0.0,1030,4,10,65,11,"boston,ma"
2016-02-24,13,2,0.0,5.5,2,83,08:31 PM,08:18 AM,07:29 AM,06:27 PM,5,3,6,3,23,100,97,6.9,1017,13,7,70,13,"boston,ma"
2016-02-25,16,6,0.0,7.0,3,75,09:28 PM,08:46 AM,07:27 AM,06:28 PM,10,10,12,10,37,91,86,6.7,992,16,9,211,24,"boston,ma"
2016-02-26,4,-4,0.0,11.1,2,68,10:24 PM,09:15 AM,07:25 AM,06:30 PM,-8,-4,1,-4,27,28,55,0.0,1005,4,10,286,20,"boston,ma"
2016-02-27,2,-4,0.0,11.1,2,60,11:21 PM,09:45 AM,07:24 AM,06:31 PM,-13,-4,-0,-4,18,19,38,0.0,1016,2,10,248,13,"boston,ma"
2016-02-28,11,1,0.0,11.1,3,53,No moonrise,10:16 AM,07:22 AM,06:32 PM,1,3,6,3,25,52,73,0.1,1010,11,10,222,15,"boston,ma"
2016-02-29,15,5,0.0,10.1,3,45,12:17 AM,10:50 AM,07:21 AM,06:33 PM,5,7,9,7,27,16,77,0.5,1004,15,10,234,17,"boston,ma"
2016-03-01,7,0,0.0,11.2,2,43,01:14 AM,11:29 AM,07:19 AM,06:35 PM,-5,1,4,1,19,28,56,0.0,1018,7,10,222,13,"boston,ma"
2016-03-02,11,-3,0.0,10.1,2,36,02:08 AM,12:12 PM,07:17 AM,06:36 PM,1,1,5,1,32,52,76,7.4,1004,11,10,244,21,"boston,ma"
2016-03-03,0,-6,0.0,11.2,2,29,03:02 AM,01:02 PM,07:16 AM,06:37 PM,-17,-7,-2,-7,16,12,33,0.0,1022,0,10,282,12,"boston,ma"
2016-03-04,-0,-3,1.3,5.6,1,22,03:53 AM,01:57 PM,07:14 AM,06:38 PM,-7,-5,-1,-5,20,94,65,2.1,1022,-0,7,62,14,"boston,ma"
2016-03-05,1,-4,0.0,8.6,2,14,04:41 AM,02:59 PM,07:12 AM,06:39 PM,-11,-5,-1,-5,17,56,50,0.0,1021,1,10,139,13,"boston,ma"
2016-03-06,4,-3,0.0,11.3,2,7,05:26 AM,04:05 PM,07:11 AM,06:41 PM,-8,-1,1,-1,10,39,55,0.0,1025,4,10,235,7,"boston,ma"
2016-03-07,8,-1,0.0,10.1,2,0,06:08 AM,05:16 PM,07:09 AM,06:42 PM,-1,-0,3,-0,20,46,78,0.1,1020,8,8,208,12,"boston,ma"
2016-03-08,10,1,0.0,10.1,3,0,06:47 AM,06:28 PM,07:07 AM,06:43 PM,3,5,6,5,11,24,79,0.0,1020,10,8,201,7,"boston,ma"
2016-03-09,20,4,0.0,11.4,4,0,07:25 AM,07:43 PM,07:06 AM,06:44 PM,7,11,13,11,25,39,71,0.0,1017,20,10,206,15,"boston,ma"
2016-03-10,16,14,0.0,5.7,3,7,08:02 AM,08:56 PM,07:04 AM,06:45 PM,14,15,15,15,13,83,91,5.2,1013,16,7,230,7,"boston,ma"
2016-03-11,12,5,0.0,8.7,3,14,08:39 AM,10:10 PM,07:02 AM,06:47 PM,6,8,9,8,13,54,81,0.0,1018,12,9,190,10,"boston,ma"
2016-03-12,12,1,0.0,11.5,3,22,09:20 AM,11:21 PM,07:01 AM,06:48 PM,2,7,8,7,17,5,67,0.0,1021,12,10,261,12,"boston,ma"
2016-03-13,15,8,0.0,10.2,4,29,10:02 AM,No moonset,06:59 AM,06:49 PM,3,10,11,10,18,37,61,0.0,1017,15,10,257,11,"boston,ma"
2016-03-14,6,4,0.0,6.0,1,36,10:49 AM,12:29 AM,06:57 AM,06:50 PM,1,1,5,1,23,87,77,3.3,1025,6,9,87,16,"boston,ma"
