reporting_area,lat,long,geom,reporting_cluster
332,42.31339732593049,-71.06679648058889,POINT(-71.06679648058889 42.31339732593049),366
333,42.31052065058033,-71.07092322196227,POINT(-71.07092322196227 42.31052065058033),169
334,42.31016636135438,-71.06506829030934,POINT(-71.06506829030934 42.31016636135438),305
335,42.30814988127816,-71.06726384500033,POINT(-71.06726384500033 42.30814988127816),116
336,42.30587710503451,-71.06887215041615,POINT(-71.06887215041615 42.30587710503451),37
337,42.305779518224014,-71.0738656453155,POINT(-71.0738656453155 42.305779518224014),474
338,42.3095680113159,-71.0626690807332,POINT(-71.0626690807332 42.3095680113159),305
339,42.30846674762455,-71.06036508736081,POINT(-71.06036508736081 42.30846674762455),240
34,42.3653417835742,-71.03360204699615,POINT(-71.03360204699615 42.3653417835742),403
340,42.30606760292723,-71.06572244885696,POINT(-71.06572244885696 42.30606760292723),116
341,42.30497303136371,-71.06729203552172,POINT(-71.06729203552172 42.30497303136371),37
342,42.30333476979885,-71.06907888968092,POINT(-71.06907888968092 42.30333476979885),464
343,42.33653286568628,-71.05500194986958,POINT(-71.05500194986958 42.33653286568628),75
344,42.30360151738608,-71.0693723201181,POINT(-71.0693723201181 42.30360151738608),464
345,42.31028212384865,-71.06981264415552,POINT(-71.06981264415552 42.31028212384865),169
346,42.30527677730288,-71.06248567338011,POINT(-71.06248567338011 42.30527677730288),240
347,42.30625175538927,-71.06048672068714,POINT(-71.06048672068714 42.30625175538927),240
348,42.305445348244675,-71.0585819938461,POINT(-71.0585819938461 42.305445348244675),240
349,42.303463666887616,-71.05981305606387,POINT(-71.05981305606387 42.303463666887616),53
35,42.36732023704613,-71.03845103281836,POINT(-71.03845103281836 42.36732023704613),206
350,42.30277103618036,-71.05866156412854,POINT(-71.05866156412854 42.30277103618036),53
351,42.300227002915754,-71.0592342960267,POINT(-71.0592342960267 42.300227002915754),480
352,42.300910160584486,-71.06340212965561,POINT(-71.06340212965561 42.300910160584486),350
353,42.299580262445645,-71.05028128146739,POINT(-71.05028128146739 42.299580262445645),133
354,42.3018432971919,-71.06087773510149,POINT(-71.06087773510149 42.3018432971919),480
355,42.297452595225145,-71.05956991779884,POINT(-71.05956991779884 42.297452595225145),178
356,42.29903520145732,-71.06249023855942,POINT(-71.06249023855942 42.29903520145732),94
357,42.299457191633394,-71.07023449960803,POINT(-71.07023449960803 42.299457191633394),258
358,42.29815106523536,-71.06704742529239,POINT(-71.06704742529239 42.29815106523536),429
359,42.29497243662154,-71.0702628326908,POINT(-71.0702628326908 42.29497243662154),212
36,42.37033243331683,-71.0240559685149,POINT(-71.0240559685149 42.37033243331683),141
360,42.2971962875691,-71.06281227864663,POINT(-71.06281227864663 42.2971962875691),94
361,42.29392371302735,-71.06418739359115,POINT(-71.06418739359115 42.29392371302735),450
362,42.29235898162541,-71.07071582142832,POINT(-71.07071582142832 42.29235898162541),212
363,42.29400389610076,-71.06087020408583,POINT(-71.06087020408583 42.29400389610076),251
364,42.29500366158508,-71.05775018638325,POINT(-71.05775018638325 42.29500366158508),178
365,42.291379688225454,-71.0605378989092,POINT(-71.0605378989092 42.291379688225454),251
366,42.28973668422278,-71.06049003720199,POINT(-71.06049003720199 42.28973668422278),69
367,42.29743950439595,-71.05774026593274,POINT(-71.05774026593274 42.29743950439595),178
368,42.29432087285235,-71.05328092560406,POINT(-71.05328092560406 42.29432087285235),325
369,42.29462834775934,-71.05113235153523,POINT(-71.05113235153523 42.29462834775934),325
37,42.383424036826945,-71.06577925951912,POINT(-71.06577925951912 42.383424036826945),322
370,42.29635907625882,-71.04861856304944,POINT(-71.04861856304944 42.29635907625882),444
372,42.29032998445857,-71.04059717229303,POINT(-71.04059717229303 42.29032998445857),298
373,42.292246115634256,-71.04832583358515,POINT(-71.04832583358515 42.292246115634256),352
374,42.29063856584342,-71.04696044566263,POINT(-71.04696044566263 42.29063856584342),352
375,42.28793632954848,-71.04545149851619,POINT(-71.04545149851619 42.28793632954848),264
376,42.28700553319144,-71.04156627666667,POINT(-71.04156627666667 42.28700553319144),90
377,42.2912138638591,-71.05141473104014,POINT(-71.05141473104014 42.2912138638591),20
378,42.2880206869684,-71.05078792781073,POINT(-71.05078792781073 42.2880206869684),448
379,42.28419893875304,-71.05379854295833,POINT(-71.05379854295833 42.28419893875304),321
38,42.37589416063026,-71.05258844867335,POINT(-71.05258844867335 42.37589416063026),340
380,42.28509002407644,-71.04868381280254,POINT(-71.04868381280254 42.28509002407644),68
381,42.286594358566134,-71.04571228731608,POINT(-71.04571228731608 42.286594358566134),264
382,42.28166904785361,-71.0545709113658,POINT(-71.0545709113658 42.28166904785361),96
383,42.28537568494623,-71.0522740145161,POINT(-71.0522740145161 42.28537568494623),321
384,42.28229931958331,-71.04857154888884,POINT(-71.04857154888884 42.28229931958331),68
385,42.28246885509055,-71.04689060079168,POINT(-71.04689060079168 42.28246885509055),68
386,42.28543337153844,-71.04262227692305,POINT(-71.04262227692305 42.28543337153844),90
387,42.274909514187755,-71.06124034824883,POINT(-71.06124034824883 42.274909514187755),294
388,42.277587949648414,-71.06619347191243,POINT(-71.06619347191243 42.277587949648414),146
389,42.28133452770122,-71.05763058306522,POINT(-71.05763058306522 42.28133452770122),310
39,42.37101219426471,-71.06055425044119,POINT(-71.06055425044119 42.37101219426471),104
390,42.28303875006579,-71.05814026065792,POINT(-71.05814026065792 42.28303875006579),310
391,42.31176717308418,-71.06322045386268,POINT(-71.06322045386268 42.31176717308418),305
392,42.28988898966551,-71.05670053661713,POINT(-71.05670053661713 42.28988898966551),492
393,42.2878373686676,-71.06087836998724,POINT(-71.06087836998724 42.2878373686676),69
394,42.284470583590725,-71.06264026841687,POINT(-71.06264026841687 42.284470583590725),399
395,42.3077212495313,-71.06956072300432,POINT(-71.06956072300432 42.3077212495313),37
396,42.291022408992276,-71.06393251180188,POINT(-71.06393251180188 42.291022408992276),346
397,42.29035449091313,-71.06826092308692,POINT(-71.06826092308692 42.29035449091313),4
398,42.28979255198046,-71.07058633137238,POINT(-71.07058633137238 42.28979255198046),4
399,42.28715920383787,-71.07056055037833,POINT(-71.07056055037833 42.28715920383787),291
4,42.38322631484206,-70.9996538545263,POINT(-70.9996538545263 42.38322631484206),397
40,42.37298189986176,-71.06048387751149,POINT(-71.06048387751149 42.37298189986176),104
400,42.28562746570098,-71.0690983292057,POINT(-71.0690983292057 42.28562746570098),291
401,42.28691529777766,-71.06543778700343,POINT(-71.06543778700343 42.28691529777766),139
402,42.286220506843065,-71.06831216099394,POINT(-71.06831216099394 42.286220506843065),291
